Actual Duty,Bill of Lading,Carrier Name,Consignee,Consignee Address,Consignee Country,Consignee Name Native,Container No/ID,Container TEU,Country of Destination,Country of Origin,Date,Freight Term,Gross Weight,HS Code,HS Product Description,Incoterms,Marks Number,Master Bill of Lading,Measurment,Net Weight,No of Packages,Notify Party Address,Notify Party Name,Packages Quantity,Packages Type,Port of Delivery,Port of Destination,Port of Origin,Product Description,Product Description Native,Quantity,Shipment Mode,Shipper,Shipper Address,Shipper Name Native,Source Country,Std. Quantity,Std. Unit,Std. Unit Rate $,Unit,Unit Rate $,Value $,Vessel Name,_row_key,_page,_source_url,district_provavel
,DSVFAMD8098095,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,NYKU5207936,0,United States,India,2026-01-16T00:00:00,-,3617,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,33143618,ONEYMUMFA6517900,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSANGULAR CONTACT BALL BEARINGC,YLINDRICAL ROLLER BEARINGDEEP GROOVE BALL BEA,RINGHSN CODE : / INV. NO. -,SI INV. DATE - / / SB NO.,DATE : . . NET WT : , . K,GS",,16,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,16,PKG,0.0,PKG,,0,CAP ANDREAS,26153195256046934,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8098104,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,NYKU5207936,0,United States,India,2026-01-16T00:00:00,-,1056,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,33149884,ONEYMUMFA6517900,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSANGULAR CONTACT BALL BEARINGC,YLINDRICAL ROLLER BEARINGTAPERED ROLLER BEARI,NGDEEP GROOVE BALL BEARINGHSN CODE :,/ / / / INV. N,O. - SI INV. DATE - / / SB,NO. DATE : . . NET WT : .,KGS",,3,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,3,PKG,0.0,PKG,,0,CAP ANDREAS,26153195256046942,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8097734,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,FDCU0614077,0,United States,India,2026-01-16T00:00:00,-,337,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,33113842,ONEYMUMFA4889500,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSANGULAR CONTACT BALL BEARINGC,YLINDRICAL ROLLER BEARINGSPHERICAL ROLLER BEA,RINGDEEP GROOVE BALL BEARINGHSN CODE :,/ / / INV. NO. - SI,INV. DATE - / / SB NO.,DATE : . . NET WT : . KGS",,2,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,2,PKG,0.0,PKG,,0,CAP ANDREAS,26153195256046068,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8097750,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,NYKU5207936,0,United States,India,2026-01-16T00:00:00,-,71,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,33113838,ONEYMUMFA6517900,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSANGULAR CONTACT BALL BEARINGC,YLINDRICAL ROLLER BEARINGHSN CODE : /,INV. NO. - SI INV. DA,TE - / / SB NO. DATE : . .,NET WT : . KGS",,1,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,1,PKG,0.0,PKG,,0,CAP ANDREAS,26153195256046928,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8098097,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,NYKU5207936,0,United States,India,2026-01-16T00:00:00,-,535,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,33143613,ONEYMUMFA6517900,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSANGULAR CONTACT BALL BEARINGC,YLINDRICAL ROLLER BEARINGTAPERED ROLLER BEARI,NGTRACK ROLLERHSN CODE : / /,/ / INV. NO. - SI,INV. DATE - / / SB NO.,DATE : . . NET WT : . KGS",,2,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,2,PKG,0.0,PKG,,0,CAP ANDREAS,26153195256046936,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8097749,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,NYKU5207936,0,United States,India,2026-01-16T00:00:00,-,311,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,33108360,ONEYMUMFA6517900,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSANGULAR CONTACT BALL BEARINGC,YLINDRICAL ROLLER BEARINGDEEP GROOVE BALL BEA,RINGTAPERED ROLLER BEARINGHSN CODE :,/ / / / INV. N,O. - SI INV. DATE - / / SB,NO. DATE : . . NET WT : .,KGS",,1,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,1,PKG,0.0,PKG,,0,CAP ANDREAS,26153195256046927,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,,,REILO LOGISTICA ADUANAL S DE R L DE C V,"BOULEVARD ALFONSO ZARAGOZAMAYTORENA NO. 1809, INT. L12,DESARROLLO URBANO TRES RIOS, C.P.",-,,TCEU7160442,0,United States,Mexico,2026-01-15T00:00:00,-,3949,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,,HLCUNG12511AYXT1,0,0,,-,Z To Order and NA,,,-,Los Angeles,Manzanillo,"ANGULAR CONTACT BALL BEARING,AC COMPRESSOR,A/C AUTO COMPRESSORS,EVAPORATOR,XTEL,XXMEXICO,TAX ID RLA DJ",,172,Not Available,Z To Order and NA,-,,,172,NOS,0.0,PCS,,0,NYK JOANNA,26153195256340149,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Los Angeles, CA"
,DSVFCPQ0054495,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,CAAU6691892,0,United States,Brazil,2026-01-14T00:00:00,-,15152,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,SCHAEFFLER BRASIL LTDA,HLCUSS5251150391,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,SPACER RING OF HIGH CARBON STEEL,,44,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,44,PKG,0.0,PKG,,0,MAERSK EVERGLADES,26153195256027355,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0056077,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,CAAU6691892,0,United States,Brazil,2026-01-14T00:00:00,-,4055,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,SCHAEFFLER BRASIL LTDA,HLCUSS5251150391,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,"HYDRAULIC PIVOT ELEMENT FOR INTERNAL COMBUSTI,ON ENGINES",,25,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,25,PKG,0.0,PKG,,0,MAERSK EVERGLADES,26153195256027358,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0056075,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,CAAU6691892,0,United States,Brazil,2026-01-14T00:00:00,-,1989,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,SCHAEFFLER BRASIL LTDA,HLCUSS5251150391,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,MARCO MONTAD ARC COIL SPRING,,6,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,6,PKG,0.0,PKG,,0,MAERSK EVERGLADES,26153195256027357,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0056073,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,CAAU6691892,0,United States,Brazil,2026-01-14T00:00:00,-,135,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,SCHAEFFLER BRASIL LTDA,HLCUSS5251150391,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,CAGE MADE OF PLASTIC FOR RADIAL LOAD BEARING,,5,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,5,PKG,0.0,PKG,,0,MAERSK EVERGLADES,26153195256027356,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0055584,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,TCLU8561243,0,United States,Brazil,2026-01-12T00:00:00,-,2424,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,SCHAEFFLER BRASIL LTDA,HLCUSS5251148934,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,SOCKET PLUNGER HYDRAULIC LASH ADJUSTER,,8,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,8,PKG,0.0,PKG,,0,SAVANNAH,26153195255913477,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0055582,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,TCLU8561243,0,United States,Brazil,2026-01-12T00:00:00,-,328,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,SCHAEFFLER BRASIL LTDA,HLCUSS5251148934,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,"HIDRAULIC LASH ADJUSTER FOR NTERNAL COMBUSTIO,N",,2,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,2,PKG,0.0,PAL,,0,SAVANNAH,26153195255913475,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0055581,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,TCLU8561243,0,United States,Brazil,2026-01-12T00:00:00,-,254,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,SCHAEFFLER BRASIL LTDA,HLCUSS5251148934,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,RADIAL INSERT BALL BEARING PREDOMINANTLY,,3,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,3,PKG,0.0,PKG,,0,SAVANNAH,26153195255913474,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0055583,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,TCLU8561243,0,United States,Brazil,2026-01-12T00:00:00,-,5333,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,SCHAEFFLER BRASIL LTDA,HLCUSS5251148934,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,SPACER RING OF HIGH CARBON STEEL,,20,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,20,PKG,0.0,PKG,,0,SAVANNAH,26153195255913476,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0055579,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,TCLU8561243,0,United States,Brazil,2026-01-12T00:00:00,-,410,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,SCHAEFFLER BRASIL LTDA,HLCUSS5251148934,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,ANGULAR CONTACT BALL BEARING,,3,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,3,PKG,0.0,PKG,,0,SAVANNAH,26153195255913473,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0054491,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,TCLU8561243,0,United States,Brazil,2026-01-12T00:00:00,-,5941,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,SCHAEFFLER BRASIL LTDA,HLCUSS5251148934,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,MONTAD ARC COIL SPRING,,15,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,15,PKG,0.0,PKG,,0,SAVANNAH,26153195255913472,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0055585,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,TCLU8561243,0,United States,Brazil,2026-01-12T00:00:00,-,1861,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,SCHAEFFLER BRASIL LTDA,HLCUSS5251148934,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,DRAWN CUP RING BEARING COMPONENT,,25,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,25,PKG,0.0,PKG,,0,SAVANNAH,26153195255913478,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,BWLESSZ59334174,,NSK Canada Inc.,5585 Macadam Road,Canada,,UASU1073470,0,United States,Brazil,2026-01-08T00:00:00,-,677,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,NSK / BRASIL,HLCUSS5251073434,0,0,,5585 Macadam Road,NSK Canada Inc.,,,-,New York,OP Brazil,BALL BEARINGS,,58,Not Available,NSK Brasil Ltda.,"Avenida Vereador Joao Batista Fitipaldi, 66 - Vila Maluf",,,58,PKG,0.0,PKG,,0,MAERSK FORTALEZA,26153195255663757,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"New York, NY"
,FTNVSMAAS0000596,,Karay Metals Inc,8 Elwyn Lane,United States,,ONEU5967900,0,United States,India,2026-01-08T00:00:00,-,24353,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",,25/HEX BUNDLE,ONEYMAAF39874800,0,0,,8 Elwyn Lane,Karay Metals Inc,,,-,Tacoma,OP India,PRECISION STEEL TUBES - CDW,,25,Not Available,Tube Investments of India Ltd.,Chennai Thirupathi Highway | Ponpadi Village Tiruthani | (T. K),,,25,PKG,0.0,BDL,,0,ONE SAN DIEGO,26153195255774862,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Seattle, WA"
,DSVFAMD8098222,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,UETU6717937,0,United States,India,2026-01-07T00:00:00,-,763,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,"A,SCHAEFFLER GROUP USA INC.135 COX AVE,US",MEDUP4602793,0,0,,-,Z To Order and NA,,,-,New York Newark Area Newark New Jersey,JNPT,"THRUST BEARINGS H.S.CODE :,/ / INV. NO: E,XP/ DT: . . S.B.NO: DT:NET WT: .,KGS",,2,Not Available,Excellent Engineering Corporation,"5, GIDC Makarpura",,,2,PKG,0.0,PKG,,0,MSC NAMIBIA,26153195255790200,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"New York, NY"
,DSVFAMD8098275,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,FCIU7290920,0,United States,India,2026-01-07T00:00:00,-,45,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,33189834,HLCUBO12511BDFT7,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSANGULAR CONTACT BALL BEARINGT,APERED ROLLER BEARINGCYLINDRICAL ROLLER BEARI,NGHSN CODE : / / /,INV. NO. - SI INV. DATE -,/ / SB NO. DATE : . . NET,WT : . KG",,1,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,1,PKG,0.0,PKG,,0,TORRENTE,26153195255792762,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8098278,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,FCIU7290920,0,United States,India,2026-01-07T00:00:00,-,1876,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,33188751,HLCUBO12511BDFT7,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSANGULAR CONTACT BALL BEARINGC,YLINDRICAL ROLLER BEARINGHSN CODE : /,INV. NO. - SI INV. DA,TE - / / SB NO. DATE : . .,NET WT : , . KGS",,8,Not Available,Schaeffler India Ltd,Survey 310 2 Kuthambakkam Road Sripurambudur Taluk,,,8,PKG,0.0,PKG,,0,TORRENTE,26153195255792765,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8098279,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,FCIU7290920,0,United States,India,2026-01-07T00:00:00,-,443,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,33188188,HLCUBO12511BDFT7,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSANGULAR CONTACT BALL BEARINGT,RACK ROLLERCYLINDRICAL ROLLER BEARINGSPHERICA,L ROLLER BEARINGHSN CODE : / /,/ INV. NO. - SI I,NVOICE DATE - / / SB NO. DATE :,. . NET WT : . KGS",,6,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,6,PKG,0.0,PKG,,0,TORRENTE,26153195255792766,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8097840,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,MSNU6554416,0,United States,India,2026-01-05T00:00:00,-,864,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,"SCHAEFFLER ??GROUP USA INC.??135 COX AVE,USA",MEDUP4158929,0,0,,-,Z To Order and NA,,,-,New York Newark Area Newark New Jersey,JNPT,"THRUST BEARINGSH.S.CODE: /,/ INV. NO: DT: . . S.B.NO:,DT:NET WT: . KGS",,3,Not Available,Excellent Engineering Corporation,"5, GIDC Makarpura",,,3,PKG,0.0,PKG,,0,MSC BARCELONA,26153195256483076,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"New York, NY"
,DSVFAMD8097364,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,BMOU1428166,0,United States,India,2026-01-03T00:00:00,-,636,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,33041662,HLCUBO1251153537,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSDEEP GROOVE BALL BEARINGCYLIN,DRICAL ROLLER BEARINGHSN CODE : /,/ INV. NO. - SI INVOI,CE DATE - / / SB NO. DATE : .,. NET WT : . KGS",,3,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,3,PKG,0.0,PKG,,0,TIRUA,26153195255352552,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8097327,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,BMOU1428166,0,United States,India,2026-01-03T00:00:00,-,1113,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,33041527,HLCUBO1251153537,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSDEEP GROOVE BALL BEARINGANGUL,AR CONTACT BALL BEARINGTAPERED ROLLER BEARING,SPHERICAL ROLLER BEARINGHSN CODE : /,/ / INV. NO. - SI,INV. DATE - / / SB NO.,DATE : . . NET WT : . KGS",,4,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,4,PKG,0.0,PKG,,0,TIRUA,26153195255352554,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8097328,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,BMOU1428166,0,United States,India,2026-01-03T00:00:00,-,1951,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,33041521,HLCUBO1251153537,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSDEEP GROOVE BALL BEARINGANGUL,AR CONTACT BALL BEARINGTAPERED ROLLER BEARING,HSN CODE : / INV. NO. - SI,INV. DATE - / / SB NO.,DATE : . . NET WT : . KGS",,5,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,5,PKG,0.0,PKG,,0,TIRUA,26153195255352556,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8097321,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,BMOU1428166,0,United States,India,2026-01-03T00:00:00,-,2195,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,33037591,HLCUBO1251153537,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSDEEP GROOVE BALL BEARINGOUTER,RINGANGULAR CONTACT BALL BEARINGHSN CODE :,/ INV. NO. - SI IN,VOICE DATE - / / SB NO. DATE :,. . NET WT : , . KGS",,6,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,6,PKG,0.0,PKG,,0,TIRUA,26153195255352557,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8097326,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,BMOU1428166,0,United States,India,2026-01-03T00:00:00,-,220,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,33041529,HLCUBO1251153537,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSANGULAR CONTACT BALL BEARINGT,APERED ROLLER BEARINGCYLINDRICAL ROLLER BEARI,NGDEEP GROOVE BALL BEARINGHSN CODE :,/ / INV. NO. - SI,INV. DATE - / / SB NO. DATE :,. . NET WT : . KGS",,1,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,1,PKG,0.0,PKG,,0,TIRUA,26153195255352550,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0055147,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,FANU1580912,0,United States,Brazil,2025-12-30T00:00:00,-,484,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,SCHAEFFLER BRASIL LTDA??,HLCUSS5251148554,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,DRAWN CUP RING BEARING COMPONENT,,12,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,12,PKG,0.0,PKG,,0,MAERSK FRANKFURT,25153195255321832,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0055143,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,FANU1580912,0,United States,Brazil,2025-12-30T00:00:00,-,679,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,SCHAEFFLER BRASIL LTDA,HLCUSS5251148554,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,ANGULAR CONTACT BALL BEARING,,3,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,3,PKG,0.0,PKG,,0,MAERSK FRANKFURT,25153195255321829,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0055144,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,FANU1580912,0,United States,Brazil,2025-12-30T00:00:00,-,12409,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,SCHAEFFLER BRASIL LTDA??,HLCUSS5251148554,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,SPACER RING OF HIGH CARBON STEEL,,42,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,42,PKG,0.0,PKG,,0,MAERSK FRANKFURT,25153195255321830,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0055148,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,FANU1580912,0,United States,Brazil,2025-12-30T00:00:00,-,431,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,SCHAEFFLER BRASIL LTDA??,HLCUSS5251148554,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,ANGULAR CONTACT BALL BEARING PREDOMINANTLY,,1,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,1,PKG,0.0,PKG,,0,MAERSK FRANKFURT,25153195255321833,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8097157,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,MOTU1430633,0,United States,India,2025-12-30T00:00:00,-,1023,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,32975826,ONEYMUMFA0351600,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSDEEP GROOVE BALL BEARINGCYLIN,DRICAL ROLLER BEARINGTAPERED ROLLER BEARINGAN,GULAR CONTACT BALL BEARINGTRACK ROLLERHSN COD,E : / / / /,INV. NO. - SI INV.,DATE - / / SB NO. DATE : . .,NET WT : . KGS",,4,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,4,PKG,0.0,PKG,,0,ONE MAXIM,25153195255302677,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8097236,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,MOTU1430633,0,United States,India,2025-12-30T00:00:00,-,173,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,32978855,ONEYMUMFA0351600,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSDEEP GROOVE BALL BEARINGTAPER,ED ROLLER BEARINGCYLINDRICAL ROLLER BEARINGAN,GULAR CONTACT BALL BEARINGTRACK ROLLERHSN COD,E : / / / INVOIC,E NO. - SI INV. DATE - / /,SB NO. DATE : . . NET WT : .,KGS",,1,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,1,PKG,0.0,PKG,,0,ONE MAXIM,25153195255302683,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8097323,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,MOTU1430633,0,United States,India,2025-12-30T00:00:00,-,1238,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,33037592,ONEYMUMFA0351600,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSDEEP GROOVE BALL BEARINGCYLIN,DRICAL ROLLER BEARINGHSN CODE : /,INV. NO. - SI INV. DATE -,/ / SB NO. DATE : . . NET,WT : . KGS",,4,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,4,PKG,0.0,PKG,,0,ONE MAXIM,25153195255302676,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0054484,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,FANU1580912,0,United States,Brazil,2025-12-30T00:00:00,-,4515,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,SCHAEFFLER BRASIL LTDA,HLCUSS5251148554,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,ARC COIL SPRING,,13,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,13,PKG,0.0,PKG,,0,MAERSK FRANKFURT,25153195255321828,page_li4,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
