HTS Number,Country,District,Year,Month,calculated_duties,charges_ins_freight,customs_value,landed_duty_paid,qty_first_kilograms,qty_first_number,qty_second_kilograms,kg_total,date
730630,Canada,"Detroit, MI",2022,November,0,185336,14633024,14818360,9429453.0,0.0,0.0,9429453.0,2022-11-01
730630,Canada,"Great Falls, MT",2022,November,0,2015,483359,485374,268558.0,0.0,0.0,268558.0,2022-11-01
730630,Canada,"Ogdensburg, NY",2022,November,0,13553,2648004,2661557,1400656.0,0.0,0.0,1400656.0,2022-11-01
730630,Canada,"Pembina, ND",2022,November,0,12191,1200444,1212635,630062.0,0.0,0.0,630062.0,2022-11-01
730630,Canada,"Seattle, WA",2022,November,0,250,61522,61772,56049.0,0.0,0.0,56049.0,2022-11-01
730630,Canada,"St. Albans, VT",2022,November,0,7322,1491272,1498594,802739.0,0.0,0.0,802739.0,2022-11-01
730630,Canada,"Buffalo, NY",2022,December,0,24566,2078826,2103392,1286472.0,0.0,0.0,1286472.0,2022-12-01
730630,Canada,"Detroit, MI",2022,December,0,124268,11551293,11675561,7760545.0,0.0,0.0,7760545.0,2022-12-01
730630,Canada,"Great Falls, MT",2022,December,0,6599,409394,415993,323636.0,0.0,0.0,323636.0,2022-12-01
730630,Canada,"Laredo, TX",2022,December,0,130,32457,32587,15588.0,0.0,0.0,15588.0,2022-12-01
730630,Canada,"Ogdensburg, NY",2022,December,0,5570,996343,1001913,664323.0,0.0,0.0,664323.0,2022-12-01
730630,Canada,"Pembina, ND",2022,December,0,7285,656030,663315,396310.0,0.0,0.0,396310.0,2022-12-01
730630,Canada,"Seattle, WA",2022,December,0,350,92627,92977,25996.0,0.0,0.0,25996.0,2022-12-01
730630,Canada,"St. Albans, VT",2022,December,0,6475,1196024,1202499,697934.0,0.0,0.0,697934.0,2022-12-01
730630,Canada,"Buffalo, NY",2023,January,0,44290,3572534,3616824,2178502.0,0.0,0.0,2178502.0,2023-01-01
730630,Canada,"Detroit, MI",2023,January,0,199308,14495276,14694584,10137534.0,0.0,0.0,10137534.0,2023-01-01
730630,Canada,"Great Falls, MT",2023,January,0,4806,984694,989500,600459.0,0.0,0.0,600459.0,2023-01-01
730630,Canada,"Ogdensburg, NY",2023,January,0,6775,1305766,1312541,818768.0,0.0,0.0,818768.0,2023-01-01
730630,Canada,"Pembina, ND",2023,January,0,15837,1302770,1318607,849715.0,0.0,0.0,849715.0,2023-01-01
730630,Canada,"Portland, ME",2023,January,0,345,19377,19722,14489.0,0.0,0.0,14489.0,2023-01-01
730630,Canada,"St. Albans, VT",2023,January,0,6712,1192247,1198959,655846.0,0.0,0.0,655846.0,2023-01-01
730630,Canada,"Buffalo, NY",2023,February,0,40933,3321444,3362377,2065026.0,0.0,0.0,2065026.0,2023-02-01
730630,Canada,"Detroit, MI",2023,February,0,163091,12460715,12623806,8722537.0,0.0,0.0,8722537.0,2023-02-01
730630,Canada,"Great Falls, MT",2023,February,0,2753,489572,492325,378682.0,0.0,0.0,378682.0,2023-02-01
730630,Canada,"Ogdensburg, NY",2023,February,0,8947,1776779,1785726,1071879.0,0.0,0.0,1071879.0,2023-02-01
730630,Canada,"Pembina, ND",2023,February,0,9375,2616538,2625913,1270142.0,0.0,0.0,1270142.0,2023-02-01
730630,Canada,"Seattle, WA",2023,February,0,150,24558,24708,24076.0,0.0,0.0,24076.0,2023-02-01
730630,Canada,"St. Albans, VT",2023,February,0,8499,1606095,1614594,958896.0,0.0,0.0,958896.0,2023-02-01
730630,Canada,"Buffalo, NY",2023,March,0,39048,3428745,3467793,2111279.0,0.0,0.0,2111279.0,2023-03-01
730630,Canada,"Detroit, MI",2023,March,0,226281,16699543,16925824,11744378.0,0.0,0.0,11744378.0,2023-03-01
730630,Canada,"Great Falls, MT",2023,March,0,6705,733517,740222,586787.0,0.0,0.0,586787.0,2023-03-01
730630,Canada,"Ogdensburg, NY",2023,March,0,11041,2382929,2393970,1320646.0,0.0,0.0,1320646.0,2023-03-01
730630,Canada,"Pembina, ND",2023,March,0,7981,1554617,1562598,788227.0,0.0,0.0,788227.0,2023-03-01
730630,Canada,"Seattle, WA",2023,March,0,501,99445,99946,87264.0,0.0,0.0,87264.0,2023-03-01
730630,Canada,"St. Albans, VT",2023,March,0,8982,1862170,1871152,1017651.0,0.0,0.0,1017651.0,2023-03-01
730630,Canada,"Buffalo, NY",2023,April,0,44191,3825936,3870127,2279319.0,0.0,0.0,2279319.0,2023-04-01
730630,Canada,"Detroit, MI",2023,April,0,208544,15986355,16194899,10610952.0,0.0,0.0,10610952.0,2023-04-01
730630,Canada,"Great Falls, MT",2023,April,0,4252,650975,655227,512449.0,0.0,0.0,512449.0,2023-04-01
730630,Canada,"Ogdensburg, NY",2023,April,0,9421,2007058,2016479,1107024.0,0.0,0.0,1107024.0,2023-04-01
730630,Canada,"Pembina, ND",2023,April,0,7493,2147286,2154779,1162769.0,0.0,0.0,1162769.0,2023-04-01
730630,Canada,"Seattle, WA",2023,April,0,2123,110611,112734,90060.0,0.0,0.0,90060.0,2023-04-01
730630,Canada,"St. Albans, VT",2023,April,0,5589,1358616,1364205,669597.0,0.0,0.0,669597.0,2023-04-01
730630,Canada,"Buffalo, NY",2023,May,0,39542,3667992,3707534,2161127.0,0.0,0.0,2161127.0,2023-05-01
730630,Canada,"Detroit, MI",2023,May,0,228171,19618835,19847006,12429381.0,0.0,0.0,12429381.0,2023-05-01
730630,Canada,"Duluth, MN",2023,May,0,500,33830,34330,19828.0,0.0,0.0,19828.0,2023-05-01
730630,Canada,"Great Falls, MT",2023,May,0,7303,617218,624521,403982.0,0.0,0.0,403982.0,2023-05-01
730630,Canada,"Ogdensburg, NY",2023,May,0,8750,2049317,2058067,1175584.0,0.0,0.0,1175584.0,2023-05-01
730630,Canada,"Pembina, ND",2023,May,0,11508,1348369,1359877,686294.0,0.0,0.0,686294.0,2023-05-01
730630,Canada,"Seattle, WA",2023,May,0,150,7270,7420,1237.0,0.0,0.0,1237.0,2023-05-01
730630,Canada,"St. Albans, VT",2023,May,0,6899,1604530,1611429,863678.0,0.0,0.0,863678.0,2023-05-01
730630,Canada,"Anchorage, AK",2023,June,0,218,11739,11957,7504.0,0.0,0.0,7504.0,2023-06-01
730630,Canada,"Buffalo, NY",2023,June,0,49250,4086588,4135838,2286313.0,0.0,0.0,2286313.0,2023-06-01
730630,Canada,"Detroit, MI",2023,June,0,195108,17189280,17384388,10721995.0,0.0,0.0,10721995.0,2023-06-01
730630,Canada,"Great Falls, MT",2023,June,0,3800,327299,331099,263209.0,0.0,0.0,263209.0,2023-06-01
730630,Canada,"Ogdensburg, NY",2023,June,0,15474,3813872,3829346,2054787.0,0.0,0.0,2054787.0,2023-06-01
730630,Canada,"Pembina, ND",2023,June,0,9848,1318407,1328255,665583.0,0.0,0.0,665583.0,2023-06-01
730630,Canada,"Seattle, WA",2023,June,0,834,98934,99768,91831.0,0.0,0.0,91831.0,2023-06-01
730630,Canada,"St. Albans, VT",2023,June,0,7750,1803146,1810896,889476.0,0.0,0.0,889476.0,2023-06-01
730630,Canada,"Anchorage, AK",2023,July,0,2001,4551,6552,889.0,0.0,0.0,889.0,2023-07-01
730630,Canada,"Buffalo, NY",2023,July,0,36398,2762361,2798759,1652263.0,0.0,0.0,1652263.0,2023-07-01
730630,Canada,"Detroit, MI",2023,July,0,158623,12461328,12619951,7582799.0,0.0,0.0,7582799.0,2023-07-01
730630,Canada,"Great Falls, MT",2023,July,0,2435,315363,317798,248464.0,0.0,0.0,248464.0,2023-07-01
730630,Canada,"Ogdensburg, NY",2023,July,0,5683,1352235,1357918,758354.0,0.0,0.0,758354.0,2023-07-01
730630,Canada,"Pembina, ND",2023,July,0,7826,1367119,1374945,676195.0,0.0,0.0,676195.0,2023-07-01
730630,Canada,"Seattle, WA",2023,July,0,300,66225,66525,64926.0,0.0,0.0,64926.0,2023-07-01
730630,Canada,"St. Albans, VT",2023,July,0,4699,1042954,1047653,536470.0,0.0,0.0,536470.0,2023-07-01
730630,Canada,"Buffalo, NY",2023,August,0,34392,2700336,2734728,1605470.0,0.0,0.0,1605470.0,2023-08-01
730630,Canada,"Detroit, MI",2023,August,0,152699,13507468,13660167,8173169.0,0.0,0.0,8173169.0,2023-08-01
730630,Canada,"Great Falls, MT",2023,August,0,2054,441342,443396,325606.0,0.0,0.0,325606.0,2023-08-01
730630,Canada,"Laredo, TX",2023,August,0,200,34273,34473,19680.0,0.0,0.0,19680.0,2023-08-01
730630,Canada,"Ogdensburg, NY",2023,August,0,5501,831095,836596,633436.0,0.0,0.0,633436.0,2023-08-01
730630,Canada,"Pembina, ND",2023,August,0,5946,959788,965734,590186.0,0.0,0.0,590186.0,2023-08-01
730630,Canada,"Seattle, WA",2023,August,0,280,40460,40740,26648.0,0.0,0.0,26648.0,2023-08-01
730630,Canada,"St. Albans, VT",2023,August,0,4429,866704,871133,535645.0,0.0,0.0,535645.0,2023-08-01
730630,Canada,"Buffalo, NY",2023,September,0,31059,2264493,2295552,1423061.0,0.0,0.0,1423061.0,2023-09-01
730630,Canada,"Detroit, MI",2023,September,0,136369,12156119,12292488,7580798.0,0.0,0.0,7580798.0,2023-09-01
730630,Canada,"Great Falls, MT",2023,September,0,6445,549304,555749,391319.0,0.0,0.0,391319.0,2023-09-01
730630,Canada,"Ogdensburg, NY",2023,September,0,9337,2089342,2098679,1310868.0,0.0,0.0,1310868.0,2023-09-01
730630,Canada,"Pembina, ND",2023,September,0,14809,587176,601985,388364.0,0.0,0.0,388364.0,2023-09-01
730630,Canada,"Seattle, WA",2023,September,0,803,204086,204889,69155.0,0.0,0.0,69155.0,2023-09-01
730630,Canada,"St. Albans, VT",2023,September,0,7775,1518039,1525814,959321.0,0.0,0.0,959321.0,2023-09-01
730630,Canada,"Buffalo, NY",2023,October,0,42864,2656611,2699475,1899165.0,0.0,0.0,1899165.0,2023-10-01
730630,Canada,"Detroit, MI",2023,October,0,179236,13555522,13734758,9569531.0,0.0,0.0,9569531.0,2023-10-01
730630,Canada,"Great Falls, MT",2023,October,0,2230,310655,312885,284149.0,0.0,0.0,284149.0,2023-10-01
730630,Canada,"Laredo, TX",2023,October,0,1,3056,3057,2996.0,0.0,0.0,2996.0,2023-10-01
730630,Canada,"Ogdensburg, NY",2023,October,0,8021,1408313,1416334,972946.0,0.0,0.0,972946.0,2023-10-01
730630,Canada,"Pembina, ND",2023,October,0,9837,978926,988763,596258.0,0.0,0.0,596258.0,2023-10-01
730630,Canada,"Seattle, WA",2023,October,0,45,7360,7405,3340.0,0.0,0.0,3340.0,2023-10-01
730630,Canada,"St. Albans, VT",2023,October,0,8445,1539426,1547871,1062130.0,0.0,0.0,1062130.0,2023-10-01
730630,Canada,"Buffalo, NY",2023,November,0,52903,3808513,3861416,2724730.0,0.0,0.0,2724730.0,2023-11-01
730630,Canada,"Detroit, MI",2023,November,0,159655,11653320,11812975,8213585.0,0.0,0.0,8213585.0,2023-11-01
730630,Canada,"Great Falls, MT",2023,November,0,4914,413700,418614,327546.0,0.0,0.0,327546.0,2023-11-01
730630,Canada,"Ogdensburg, NY",2023,November,0,6038,1152335,1158373,765968.0,0.0,0.0,765968.0,2023-11-01
730630,Canada,"Pembina, ND",2023,November,0,10393,1007751,1018144,592837.0,0.0,0.0,592837.0,2023-11-01
730630,Canada,"Portland, ME",2023,November,0,11,2567,2578,1745.0,0.0,0.0,1745.0,2023-11-01
730630,Canada,"Seattle, WA",2023,November,0,1345,19114,20459,14551.0,0.0,0.0,14551.0,2023-11-01
730630,Canada,"St. Albans, VT",2023,November,0,9676,1861713,1871389,1217547.0,0.0,0.0,1217547.0,2023-11-01
730630,Canada,"Buffalo, NY",2023,December,0,33951,2438662,2472613,1602644.0,0.0,0.0,1602644.0,2023-12-01
730630,Canada,"Detroit, MI",2023,December,0,144262,11296505,11440767,7721930.0,0.0,0.0,7721930.0,2023-12-01
730630,Canada,"Great Falls, MT",2023,December,0,1922,321815,323737,259304.0,0.0,0.0,259304.0,2023-12-01
730630,Canada,"Laredo, TX",2023,December,0,869,26295,27164,5842.0,0.0,0.0,5842.0,2023-12-01
730630,Canada,"Ogdensburg, NY",2023,December,0,11356,2356742,2368098,1540641.0,0.0,0.0,1540641.0,2023-12-01
730630,Canada,"Pembina, ND",2023,December,0,3035,656355,659390,386207.0,0.0,0.0,386207.0,2023-12-01
730630,Canada,"Portland, ME",2023,December,0,35,2357,2392,1273.0,0.0,0.0,1273.0,2023-12-01
730630,Canada,"Seattle, WA",2023,December,0,609,58116,58725,37440.0,0.0,0.0,37440.0,2023-12-01
730630,Canada,"St. Albans, VT",2023,December,0,7673,1536679,1544352,956848.0,0.0,0.0,956848.0,2023-12-01
730630,Canada,"Buffalo, NY",2024,January,0,41446,3300800,3342246,2121983.0,0.0,0.0,2121983.0,2024-01-01
730630,Canada,"Detroit, MI",2024,January,0,175831,14759544,14935375,9179716.0,0.0,0.0,9179716.0,2024-01-01
730630,Canada,"Great Falls, MT",2024,January,0,2755,244037,246792,165627.0,0.0,0.0,165627.0,2024-01-01
730630,Canada,"Ogdensburg, NY",2024,January,0,7751,1637378,1645129,970898.0,0.0,0.0,970898.0,2024-01-01
730630,Canada,"Pembina, ND",2024,January,0,6255,1226360,1232615,787458.0,0.0,0.0,787458.0,2024-01-01
730630,Canada,"Seattle, WA",2024,January,0,150,32500,32650,24008.0,0.0,0.0,24008.0,2024-01-01
730630,Canada,"St. Albans, VT",2024,January,0,7442,1686415,1693857,939822.0,0.0,0.0,939822.0,2024-01-01
730630,Canada,"Buffalo, NY",2024,February,0,39435,3461981,3501416,2097818.0,0.0,0.0,2097818.0,2024-02-01
730630,Canada,"Detroit, MI",2024,February,0,209901,16156598,16366499,10678430.0,0.0,0.0,10678430.0,2024-02-01
730630,Canada,"Great Falls, MT",2024,February,0,2725,326743,329468,250647.0,0.0,0.0,250647.0,2024-02-01
730630,Canada,"Ogdensburg, NY",2024,February,0,7039,1575559,1582598,967597.0,0.0,0.0,967597.0,2024-02-01
730630,Canada,"Pembina, ND",2024,February,0,12726,1418070,1430796,807477.0,0.0,0.0,807477.0,2024-02-01
730630,Canada,"Seattle, WA",2024,February,0,3278,112922,116200,84613.0,0.0,0.0,84613.0,2024-02-01
730630,Canada,"St. Albans, VT",2024,February,0,7791,1484483,1492274,899390.0,0.0,0.0,899390.0,2024-02-01
730630,Canada,"Buffalo, NY",2024,March,0,43439,3170409,3213848,2079580.0,0.0,0.0,2079580.0,2024-03-01
730630,Canada,"Detroit, MI",2024,March,0,159877,12703980,12863857,8258868.0,0.0,0.0,8258868.0,2024-03-01
