HTS Number,Country,date,landed_duty_paid,customs_value,charges_ins_freight,calculated_duties,kg_total,qty_first_number,qty_second_kilograms,usd_per_kg_landed,usd_per_kg_customs,freight_share,effective_duty_rate,commodity,kg_per_piece,implausible_unit,low_volume,reliable
848210,Canada,2023-01-01,5906888,5712161,36659,158068,244907.0,995991.0,244907.0,24.118902277190934,23.32379637985031,0.006206144419870497,0.02767218921175366,8482.10 - rolamentos de esferas,0.2458927841717445,False,False,True
848210,Canada,2023-02-01,7114883,6823568,61653,229662,284336.0,1152647.0,284336.0,25.022800489561646,23.99825558494176,0.00866535683018259,0.033657171731856415,8482.10 - rolamentos de esferas,0.24668090057059966,False,False,True
848210,Canada,2023-03-01,6084411,5809056,98948,176407,337271.0,1570893.0,337271.0,18.040125003335596,17.2237043801572,0.01626254373677255,0.030367584681573048,8482.10 - rolamentos de esferas,0.21470017372284428,False,False,True
848210,Canada,2023-04-01,5969297,5752326,60144,156827,306914.0,1513876.0,306914.0,19.449412539017445,18.742468574258588,0.01007555831113781,0.02726323229942114,8482.10 - rolamentos de esferas,0.20273390951438558,False,False,True
848210,Canada,2023-05-01,6112162,5914171,79330,118661,321290.0,1492129.0,321290.0,19.02381648977559,18.407578822870303,0.012979040804219522,0.020063843267298157,8482.10 - rolamentos de esferas,0.21532320596945706,False,False,True
848210,Canada,2023-06-01,5417842,5174959,68285,174598,283357.0,1493824.0,283357.0,19.120198195209575,18.263035675843547,0.01260372672366599,0.0337390112655965,8482.10 - rolamentos de esferas,0.1896856657812433,False,False,True
848210,Canada,2023-07-01,5440934,5229444,36645,174845,279377.0,1175154.0,279377.0,19.4752395508578,18.718233784456128,0.0067350568854538575,0.03343472078484826,8482.10 - rolamentos de esferas,0.23773650091817752,False,False,True
848210,Canada,2023-08-01,7718179,7424908,79750,213521,306649.0,1462527.0,306649.0,25.169424977743283,24.213051404048276,0.01033274817803526,0.028757393357601198,8482.10 - rolamentos de esferas,0.2096706590715932,False,False,True
848210,Canada,2023-09-01,6449528,6192268,97982,159278,275795.0,1152824.0,275795.0,23.385224532714517,22.452430247103827,0.01519211948533288,0.025722077920400085,8482.10 - rolamentos de esferas,0.2392342629924429,False,False,True
848210,Canada,2023-10-01,6456921,6196353,94839,165729,262977.0,1382974.0,262977.0,24.55317765431958,23.562338151245164,0.014687960407135228,0.026746216685847306,8482.10 - rolamentos de esferas,0.19015324944648274,False,False,True
848210,Canada,2023-11-01,6365723,6195007,43021,127695,278608.0,1282527.0,278608.0,22.848313759834607,22.23556753574915,0.0067582268345638035,0.020612567507994745,8482.10 - rolamentos de esferas,0.21723363328803214,False,False,True
848210,Canada,2023-12-01,3851769,3746888,39876,65005,187799.0,822832.0,187799.0,20.51006128893125,19.951586536669524,0.010352645758351552,0.017349064076641735,8482.10 - rolamentos de esferas,0.2282349252338266,False,False,True
848210,Canada,2024-01-01,5818342,5635031,65217,118094,245626.0,1049637.0,245626.0,23.68780992240235,22.941508635079348,0.011208863280982796,0.020957116296254626,8482.10 - rolamentos de esferas,0.23401042455629897,False,False,True
848210,Canada,2024-02-01,6037982,5779384,97627,160971,259692.0,1156042.0,259692.0,23.2505506523112,22.254763335027647,0.016168812692717534,0.02785262235560053,8482.10 - rolamentos de esferas,0.22463889720269678,False,False,True
848210,Canada,2024-03-01,7651535,7400257,63883,187395,256740.0,1283151.0,256740.0,29.80266027888136,28.823934719950145,0.008349043688619343,0.025322769195718475,8482.10 - rolamentos de esferas,0.20008557059925136,False,False,True
848210,Canada,2024-04-01,8285743,8067976,76723,141044,263241.0,1259431.0,263241.0,31.47588331604879,30.648629962657793,0.009259640324349911,0.017481955821385686,8482.10 - rolamentos de esferas,0.20901581746042458,False,False,True
848210,Canada,2024-05-01,9170997,8914313,77153,179531,282893.0,1494003.0,282893.0,32.418607035168776,31.511253371416046,0.00841271674170213,0.02013963386746685,8482.10 - rolamentos de esferas,0.18935236408494494,False,False,True
848210,Canada,2024-06-01,7824613,7570903,63894,189816,265954.0,1589655.0,265954.0,29.42092617520323,28.466964211856187,0.00816577126562042,0.02507177809569083,8482.10 - rolamentos de esferas,0.16730296825411803,False,False,True
848210,Canada,2024-07-01,6905282,6603623,67216,234443,256608.0,1286618.0,256608.0,26.90984692605063,25.734283420626014,0.009733997829487629,0.03550217812252456,8482.10 - rolamentos de esferas,0.19944381315977236,False,False,True
848210,Canada,2024-08-01,4390184,4229192,62482,98510,193765.0,722862.0,193765.0,22.657260083090343,21.826397956287256,0.014232205301645671,0.023292865398402342,8482.10 - rolamentos de esferas,0.2680525466824926,False,False,True
848210,Canada,2024-09-01,4883244,4470215,274640,138389,272019.0,533125.0,272019.0,17.951848951727637,16.433466044651293,0.05624130188866254,0.030958018797753575,8482.10 - rolamentos de esferas,0.5102349355216882,False,False,True
848210,Canada,2024-10-01,5218286,5009492,49334,159460,201614.0,1075724.0,201614.0,25.882557758885792,24.84694515261837,0.009454062119247585,0.031831570945716654,8482.10 - rolamentos de esferas,0.1874216806541455,False,False,True
848210,Canada,2024-11-01,5227102,5015442,66334,145326,208699.0,1087791.0,208699.0,25.046128635019812,24.031940737617333,0.012690397088099678,0.028975711412872484,8482.10 - rolamentos de esferas,0.1918557884740727,False,False,True
848210,Canada,2024-12-01,4309179,4122697,79405,107077,156623.0,822117.0,156623.0,27.51306640787113,26.3224239096429,0.0184269439723901,0.025972561165664126,8482.10 - rolamentos de esferas,0.19051181279550233,False,False,True
848210,Canada,2025-01-01,8485475,8084452,97267,303756,268456.0,1524708.0,268456.0,31.608438626814078,30.114625860476206,0.011462764311956608,0.03757286208143731,8482.10 - rolamentos de esferas,0.1760704344700756,False,False,True
848210,Canada,2025-02-01,7814053,7423528,84207,306318,235931.0,1049278.0,235931.0,33.12007748028025,31.46482658065282,0.010776353833279606,0.04126312987571408,8482.10 - rolamentos de esferas,0.22485080217063544,False,False,True
848210,Canada,2025-03-01,9944388,8961323,66971,916094,285854.0,1330481.0,285854.0,34.788346498562206,31.34930069196163,0.006734552191648194,0.10222753939345787,8482.10 - rolamentos de esferas,0.2148501181151779,False,False,True
848210,Canada,2025-04-01,9614265,8715915,189748,708602,250228.0,1606776.0,250228.0,38.42201911856387,34.83189331329827,0.01973609007032779,0.08129978321266328,8482.10 - rolamentos de esferas,0.15573297086837246,False,False,True
848210,Canada,2025-05-01,11308532,10456512,71051,780969,343006.0,1521562.0,343006.0,32.968904334034974,30.484924461962766,0.006282955205856958,0.0746873335965186,8482.10 - rolamentos de esferas,0.22543018293043596,False,False,True
848210,Canada,2025-06-01,9581666,8951978,61047,568641,282112.0,1261435.0,282112.0,33.964049739110706,31.732000056715062,0.006371230222385126,0.0635212687073181,8482.10 - rolamentos de esferas,0.22364370736502476,False,False,True
848210,Canada,2025-07-01,6480478,5813042,96561,570875,247925.0,1215905.0,247925.0,26.13886457598064,23.446776242815368,0.014900289762576156,0.09820589632760265,8482.10 - rolamentos de esferas,0.20390162060358333,False,False,True
848210,Canada,2025-08-01,9045467,7981828,93825,969814,245481.0,985625.0,245481.0,36.84793120445167,32.51505411824133,0.01037259878345695,0.12150274348181896,8482.10 - rolamentos de esferas,0.24906125554850983,False,False,True
848210,Canada,2025-09-01,12095954,9768749,170029,2157176,293045.0,1415656.0,293045.0,41.276780016720984,33.33532051391425,0.014056683747309224,0.22082418127438835,8482.10 - rolamentos de esferas,0.20700297247353877,False,False,True
848210,Canada,2025-10-01,7518619,6159726,82672,1276221,314669.0,1238752.0,314669.0,23.893739135408953,19.57525526823424,0.010995636299698124,0.2071879495938618,8482.10 - rolamentos de esferas,0.25402098240810106,False,False,True
848210,Canada,2025-11-01,9116880,7837956,72727,1206197,283447.0,1072305.0,283447.0,32.16431996105092,27.652280673282835,0.007977180789919358,0.15389177994875194,8482.10 - rolamentos de esferas,0.2643343078694961,False,False,True
848210,Canada,2025-12-01,6443693,5279420,120194,1044079,210734.0,943133.0,210734.0,30.577377167424334,25.052530678485674,0.018652968103849765,0.1977639589197298,8482.10 - rolamentos de esferas,0.22344038433603744,False,False,True
848210,Canada,2026-01-01,9143469,7714835,80492,1348142,268774.0,960364.0,268774.0,34.01917224136263,28.703799474651564,0.008803223371785917,0.174746705535504,8482.10 - rolamentos de esferas,0.2798668005048086,False,False,True
848210,Canada,2026-02-01,10657564,9323582,47972,1286010,314718.0,1186796.0,314718.0,33.863852718942034,29.625194618674495,0.004501216225396348,0.1379308939418348,8482.10 - rolamentos de esferas,0.26518289579675025,False,False,True
848210,Canada,2026-03-01,6288648,5726747,49315,512586,370397.0,1028180.0,370397.0,16.978128872534064,15.461105246532775,0.007841908149414628,0.08950735906440428,8482.10 - rolamentos de esferas,0.36024528779007564,False,False,True
848210,Canada,2026-04-01,11513887,10396751,41397,1075739,324931.0,1964148.0,324931.0,35.434867710375435,31.996796242894646,0.003595397453527206,0.1034687663482563,8482.10 - rolamentos de esferas,0.16543101639998614,False,False,True
848210,Canada,2026-05-01,10752935,9191405,49466,1512064,256480.0,1062213.0,256480.0,41.925042888334374,35.836731908920775,0.004600232401665219,0.16450847286133077,8482.10 - rolamentos de esferas,0.24145816328740094,False,False,True
848210,Canada,2026-06-01,12982669,11375579,73515,1533575,289081.0,1077007.0,289081.0,44.91014283193984,39.350835924879185,0.0056625490490437675,0.13481291809410317,8482.10 - rolamentos de esferas,0.2684114402227655,False,False,True
848210,India,2022-01-01,1300395,1128369,70784,101242,57251.0,321248.0,57251.0,22.713926394298788,19.709157918638976,0.05443269160524302,0.08972419483342772,8482.10 - rolamentos de esferas,0.17821433907759737,False,False,True
848210,India,2022-02-01,495555,439595,16394,39566,19022.0,258374.0,19022.0,26.051677005572493,23.10982020818,0.03308209986782496,0.09000557331179836,8482.10 - rolamentos de esferas,0.07362195886583016,False,False,True
848210,India,2022-03-01,1663419,1479806,50440,133173,76747.0,327111.0,76747.0,21.67405892086987,19.281613613561444,0.030323087568435853,0.08999355320900172,8482.10 - rolamentos de esferas,0.23462066393364944,False,False,True
848210,India,2022-04-01,1714931,1503200,76593,135138,87488.0,318474.0,87488.0,19.601899689100218,17.181784930504755,0.0446624383138447,0.08990021287919106,8482.10 - rolamentos de esferas,0.2747100234242042,False,False,True
848210,India,2022-05-01,1735608,1526156,73057,136395,77951.0,295502.0,77951.0,22.26537183615348,19.578401816525766,0.042093030223414506,0.08937159766105168,8482.10 - rolamentos de esferas,0.26379178482717547,False,False,True
848210,India,2022-06-01,2057706,1816298,78146,163262,103926.0,511502.0,103926.0,19.799722879741353,17.476839289494446,0.03797724261872201,0.08988723216124227,8482.10 - rolamentos de esferas,0.20317809119025929,False,False,True
848210,India,2022-07-01,1095907,958932,50972,86003,43061.0,248457.0,43061.0,25.450105664057965,22.269153061935395,0.04651124593601464,0.08968623426895755,8482.10 - rolamentos de esferas,0.17331369210768865,False,False,True
848210,India,2022-08-01,1759660,1557015,65064,137581,90328.0,388519.0,90328.0,19.480781153130813,17.237346116375875,0.03697532477865042,0.08836202605626792,8482.10 - rolamentos de esferas,0.2324931341839138,False,False,True
848210,India,2022-09-01,708635,617224,36026,55385,30620.0,385109.0,30620.0,23.14288047028086,20.15754408883083,0.05083858403832721,0.08973241481212656,8482.10 - rolamentos de esferas,0.07950995692128722,False,False,True
848210,India,2022-10-01,1378327,1227375,40485,110467,68593.0,379413.0,68593.0,20.0942807575117,17.89358972489904,0.029372565436213614,0.09000264792748752,8482.10 - rolamentos de esferas,0.18078716332861552,False,False,True
848210,India,2022-11-01,1173836,1051606,28338,93892,35812.0,254681.0,35812.0,32.7777281358204,29.36462638221825,0.024141362166435514,0.08928438978096359,8482.10 - rolamentos de esferas,0.14061512244729682,False,False,True
848210,India,2022-12-01,1310745,1162507,44970,103268,55741.0,202887.0,55741.0,23.514917206365155,20.85551030659658,0.03430873281988488,0.08883215326875452,8482.10 - rolamentos de esferas,0.27473914050678455,False,False,True
848210,India,2023-01-01,1676684,1497676,44507,134501,64481.0,412564.0,64481.0,26.002760503093935,23.226624897256556,0.026544655999580124,0.08980647349627022,8482.10 - rolamentos de esferas,0.15629332661114398,False,False,True
848210,India,2023-02-01,911360,814947,23068,73345,39357.0,269377.0,39357.0,23.156236501765886,20.706532510099855,0.025311622191011237,0.08999971777305764,8482.10 - rolamentos de esferas,0.14610378762849094,False,False,True
