Consignee,Country of Destination,Country of Origin,Date,HS Code,HS Product Description,Notify Party Name,Port of Destination,Port of Origin,Product Description,Quantity,Shipper,Unit,Value $,_row_key,_page,_source_url
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF,IRON OR NON ALLOY STEEL (GALVANISED PIPES,TUBES) HOLLOW SHAFT ROUND; WITH END CAP;,PACKAGING",39,-,,0,25153195250557014,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF,IRON OR NON ALLOY STEEL (GALVANISED PIPES,TUBES) HOLLOW SHAFT ROUND; WITH END CAP;,PACKAGING",39,-,,0,25153195250557051,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF,IRON OR NON ALLOY STEEL (GALVANISED PIPES,TUBES) HOLLOW SHAFT ROUND; WITH END CAP;,PACKAGING",41,-,,0,25153195250559016,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Canada,,7306301000,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:, Having a wall thickness of less than 1.65 mm /note: See 9903.88.15 and U.S. note 16 to subchapter III, chapter 99.",-,,,"POST, HS ;WASHER , FLAT HS ,,WASHER, SPLIT HS ; BOLT,; NUT,POR: CERS FS",10,-,,0,25153195250273616,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,PRECISION TUBE,32,-,,0,25153195250186791,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES,PIPES AND HOLLOW PROFILES (FOR E XAMPL - TUBERIA DE ACERO GALVANIZADO TIPO EMT",27,-,,0,25153195251773513,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES,PIPES AND HOLLOW PROFILES (FOR E XAMPL - TUBERIA DE ACERO GALVANIZADO TIPO EMT Y CODOS",39,-,,0,25153195251773512,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES,PIPES AND HOLLOW PROFILES (FOR E XAMPL - TUBERIA DE ACERO GALVANIZADO TIPO EMT",25,-,,0,25153195251773509,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES,PIPES AND HOLLOW PROFILES (FOR E XAMPL - TUBERIA DE ACERO GALVANIZADO TIPO EMT",25,-,,0,25153195251773514,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES,PIPES AND HOLLOW PROFILES (FOR E XAMPL - TUBERIA DE ACERO GALVANIZADO TIPO EMT",26,-,,0,25153195251773507,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel, welded, of circular cross section, of iron or nonalloy steel",-,,,TUBERIA DE ACERO GALVANIZADO RIGIDO,16,-,,0,25153195251783029,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES,PIPES AND HOLLOW PROFILES (FOR E XAMPL - TUBERIA DE ACERO GALVANIZADO TIPO EMT Y RIGIDO",28,-,,0,25153195251773508,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES,PIPES AND HOLLOW PROFILES (FOR E XAMPL - TUBERIA DE ACERO GALVANIZADO TIPO EMT",27,-,,0,25153195251773510,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES,PIPES AND HOLLOW PROFILES (FOR E XAMPL - TUBERIA DE ACERO GALVANIZADO TIPO EMT Y CODOS TUBOS RIGIDOS DE ALUMINIO",46,-,,0,25153195251773511,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
